customer_id,signup_date,gender,age_group,acquisition_channel,locationszip
1,2021-12-30,Female,35-44,social_media,15201
2,2013-12-27,Female,45-54,email_campaign,15201
3,2018-07-24,Female,18-24,organic_search,15201
4,2017-11-29,Male,35-44,referral,15201
5,2022-09-23,Male,55+,organic_search,15201
6,2022-04-14,Female,25-34,organic_search,15202
8,2015-09-11,Male,45-54,social_media,15202
9,2020-02-14,Male,35-44,email_campaign,15202
10,2014-03-03,Male,25-34,organic_search,15202
11,2017-11-07,Male,35-44,organic_search,15203
12,2020-11-20,Female,45-54,organic_search,15203
13,2014-01-17,Female,25-34,direct,15203
14,2017-07-31,Female,45-54,social_media,15203
15,2022-01-29,Male,35-44,direct,15203
16,2021-03-25,Female,45-54,referral,15204
17,2017-11-15,Male,25-34,social_media,15204
18,2021-08-06,Male,45-54,referral,15204
20,2013-01-07,Male,45-54,paid_search,15204
22,2022-06-12,Male,35-44,organic_search,15205
23,2019-04-18,Female,45-54,organic_search,15205
24,2016-12-08,Male,18-24,social_media,15205
26,2019-04-04,Male,35-44,paid_search,15206
27,2015-10-25,Non-binary,18-24,social_media,15206
28,2015-11-24,Male,25-34,email_campaign,15206
30,2021-09-18,Male,45-54,social_media,15206
32,2022-09-05,Female,25-34,paid_search,15207
33,2021-02-26,Male,25-34,organic_search,15207
35,2019-09-11,Male,35-44,referral,15207
36,2021-04-16,Female,35-44,paid_search,15208
38,2021-10-31,Female,35-44,email_campaign,15208
40,2021-07-01,Female,25-34,social_media,15208
41,2022-06-29,Male,35-44,organic_search,15209
42,2014-09-08,Male,45-54,paid_search,15209
43,2017-12-21,Female,45-54,direct,15209
44,2018-09-24,Male,25-34,organic_search,15209
45,2015-07-17,Non-binary,55+,social_media,15209
46,2018-01-14,Female,35-44,social_media,15210
47,2015-12-25,Male,45-54,organic_search,15210
48,2018-08-06,Female,45-54,email_campaign,15210
49,2021-12-19,Male,25-34,organic_search,15210
50,2019-07-22,Male,18-24,direct,15210
51,2019-08-11,Female,25-34,paid_search,15211
52,2017-09-23,Male,35-44,social_media,15211
53,2018-06-19,Female,35-44,direct,15211
55,2022-01-23,Male,45-54,paid_search,15211
56,2021-10-03,Female,45-54,email_campaign,15212
57,2017-03-06,Female,25-34,organic_search,15212
58,2022-09-03,Male,25-34,social_media,15212
59,2017-01-22,Male,55+,social_media,15212
60,2019-09-14,Female,18-24,referral,15212
62,2021-12-31,Female,25-34,social_media,15213
63,2021-05-01,Male,25-34,paid_search,15213
64,2022-05-06,Male,18-24,organic_search,15213
67,2017-12-27,Male,18-24,social_media,15214
68,2014-04-01,Male,35-44,social_media,15214
69,2019-01-10,Male,18-24,email_campaign,15214
70,2018-06-22,Male,18-24,direct,15214
71,2017-09-30,Male,35-44,direct,15215
74,2019-01-06,Male,35-44,direct,15215
75,2022-02-13,Female,35-44,paid_search,15215
76,2019-11-13,Female,35-44,paid_search,15216
78,2020-06-20,Male,25-34,paid_search,15216
79,2018-06-09,Female,45-54,email_campaign,15216
80,2018-03-19,Male,25-34,paid_search,15216
81,2021-05-14,Male,25-34,email_campaign,15217
82,2018-05-31,Male,35-44,organic_search,15217
83,2021-07-23,Male,25-34,direct,15217
85,2019-11-26,Male,35-44,paid_search,15217
86,2017-11-10,Female,18-24,paid_search,15218
88,2020-12-03,Female,25-34,paid_search,15218
89,2015-10-11,Male,45-54,referral,15218
90,2014-09-21,Female,45-54,paid_search,15218
91,2016-02-23,Female,25-34,organic_search,15219
92,2021-11-26,Female,18-24,referral,15219
94,2020-02-15,Female,35-44,social_media,15219
95,2015-02-28,Male,35-44,organic_search,15219
96,2019-09-22,Female,35-44,social_media,15220
98,2021-02-03,Male,18-24,organic_search,15220
101,2013-05-08,Female,25-34,organic_search,15221
102,2022-08-12,Male,35-44,email_campaign,15221
103,2022-04-27,Male,18-24,organic_search,15221
104,2021-02-28,Non-binary,25-34,email_campaign,15221
105,2018-06-18,Female,25-34,organic_search,15221
106,2022-01-03,Male,35-44,email_campaign,15222
107,2016-03-08,Female,35-44,organic_search,15222
108,2020-03-30,Non-binary,45-54,organic_search,15222
109,2020-06-03,Non-binary,35-44,social_media,15222
112,2018-06-03,Male,25-34,paid_search,15223
113,2020-11-05,Male,35-44,direct,15223
114,2017-04-16,Male,18-24,organic_search,15223
117,2018-11-01,Female,25-34,email_campaign,15224
118,2021-12-29,Male,45-54,email_campaign,15224
119,2021-10-03,Female,35-44,organic_search,15224
120,2016-11-22,Female,55+,direct,15224
121,2022-11-30,Male,25-34,organic_search,15225
122,2021-03-07,Female,45-54,organic_search,15225
124,2021-02-07,Female,35-44,social_media,15225
125,2012-04-24,Male,35-44,social_media,15225
126,2019-02-14,Female,35-44,email_campaign,15226
127,2013-10-03,Male,35-44,organic_search,15226
131,2018-12-08,Female,25-34,paid_search,15227
132,2015-01-07,Female,35-44,organic_search,15227
135,2015-09-01,Male,25-34,paid_search,15227
136,2020-09-18,Female,55+,paid_search,15228
137,2015-04-19,Male,45-54,referral,15228
138,2022-11-25,Female,25-34,paid_search,15228
139,2022-12-09,Female,18-24,social_media,15228
140,2016-06-26,Male,45-54,organic_search,15228
141,2020-08-14,Female,35-44,social_media,15229
142,2021-04-09,Male,35-44,social_media,15229
143,2018-06-10,Female,35-44,social_media,15229
145,2020-02-19,Female,18-24,organic_search,15229
146,2017-10-04,Male,45-54,email_campaign,15232
147,2021-03-07,Female,35-44,paid_search,15232
148,2022-09-05,Male,25-34,paid_search,15232
149,2017-08-12,Male,25-34,social_media,15232
150,2018-12-25,Female,55+,direct,15232
152,2022-01-29,Female,18-24,paid_search,15233
153,2020-04-11,Female,25-34,social_media,15233
154,2020-12-29,Female,25-34,paid_search,15233
155,2016-05-10,Male,18-24,organic_search,15233
156,2017-12-06,Female,25-34,social_media,15234
157,2019-04-10,Male,55+,organic_search,15234
158,2021-08-03,Male,45-54,referral,15234
159,2018-01-01,Male,45-54,paid_search,15234
160,2017-11-14,Female,18-24,organic_search,15234
161,2015-05-04,Female,35-44,paid_search,15235
162,2021-12-06,Female,45-54,organic_search,15235
163,2017-12-26,Female,18-24,email_campaign,15235
166,2015-05-03,Male,55+,organic_search,15236
167,2018-02-07,Male,45-54,paid_search,15236
168,2022-03-23,Female,18-24,paid_search,15236
169,2017-10-16,Male,18-24,referral,15236
170,2016-07-21,Male,35-44,paid_search,15236
172,2021-06-12,Female,55+,social_media,15237
