snapshot_date,product_id,stock_on_hand,units_received,units_sold,stockout_days,days_of_supply,fill_rate,stockout_flag,overstock_flag,reorder_flag,sell_through_rate,productsproduct_id
2022-10-31,1,3,1,1,2,90.0,0.9333,1,0,0,0.25,1
2022-11-30,1,3,1,1,1,90.0,0.9667,1,0,0,0.25,1
2022-12-31,1,3,1,1,1,90.0,0.9667,1,0,0,0.25,1
2016-04-30,3,35,13,11,2,95.5,0.9333,1,1,0,0.2391,3
2016-05-31,3,36,11,10,1,108.0,0.9667,1,1,0,0.2174,3
2016-06-30,3,37,8,7,2,158.6,0.9333,1,1,0,0.1591,3
2016-07-31,3,39,11,9,2,130.0,0.9333,1,1,0,0.1875,3
2016-08-31,3,39,4,4,0,292.5,1.0,0,1,0,0.093,3
2016-09-30,3,40,7,6,0,200.0,1.0,0,1,0,0.1304,3
2016-10-31,3,41,7,6,1,205.0,0.9667,1,1,0,0.1277,3
2016-11-30,3,44,15,12,0,110.0,1.0,0,1,0,0.2143,3
2016-12-31,3,45,12,11,2,122.7,0.9333,1,1,0,0.1964,3
2017-01-31,3,46,13,12,0,115.0,1.0,0,1,0,0.2069,3
2017-02-28,3,50,18,14,2,107.1,0.9333,1,1,0,0.2188,3
2017-03-31,3,52,12,10,1,156.0,0.9667,1,1,0,0.1613,3
2017-04-30,3,53,9,8,2,198.8,0.9333,1,1,0,0.1311,3
2017-05-31,3,54,10,9,0,180.0,1.0,0,1,0,0.1429,3
2017-06-30,3,56,15,13,2,129.2,0.9333,1,1,0,0.1884,3
2017-07-31,3,57,8,7,1,244.3,0.9667,1,1,0,0.1094,3
2017-08-31,3,59,11,9,0,196.7,1.0,0,1,0,0.1324,3
2017-09-30,3,59,3,3,2,590.0,0.9333,1,1,0,0.0484,3
2017-10-31,3,60,11,10,1,180.0,0.9667,1,1,0,0.1429,3
2017-11-30,3,61,7,6,2,305.0,0.9333,1,1,0,0.0896,3
2017-12-31,3,63,17,15,2,126.0,0.9333,1,1,0,0.1923,3
2018-01-31,3,64,7,6,0,320.0,1.0,0,1,0,0.0857,3
2018-02-28,3,65,8,7,2,278.6,0.9333,1,1,0,0.0972,3
2018-03-31,3,67,11,9,0,223.3,1.0,0,1,0,0.1184,3
2018-04-30,3,69,13,11,0,188.2,1.0,0,1,0,0.1375,3
2018-05-31,3,72,20,17,2,127.1,0.9333,1,1,0,0.191,3
2018-06-30,3,75,19,16,1,140.6,0.9667,1,1,0,0.1758,3
2018-07-31,3,78,19,16,2,146.2,0.9333,1,1,0,0.1702,3
2018-08-31,3,81,21,18,1,135.0,0.9667,1,1,0,0.1818,3
2018-09-30,3,82,15,14,0,175.7,1.0,0,1,0,0.1458,3
2018-10-31,3,82,8,8,1,307.5,0.9667,1,1,0,0.0889,3
2018-11-30,3,83,8,7,2,355.7,0.9333,1,1,0,0.0778,3
2018-12-31,3,84,5,4,2,630.0,0.9333,1,1,0,0.0455,3
2019-01-31,3,85,6,5,2,510.0,0.9333,1,1,0,0.0556,3
2019-02-28,3,86,7,6,0,430.0,1.0,0,1,0,0.0652,3
2019-03-31,3,88,11,9,2,293.3,0.9333,1,1,0,0.0928,3
2019-04-30,3,91,17,14,2,195.0,0.9333,1,1,0,0.1333,3
2019-05-31,3,93,11,9,0,310.0,1.0,0,1,0,0.0882,3
2019-06-30,3,94,12,11,0,256.4,1.0,0,1,0,0.1048,3
2019-07-31,3,96,15,13,1,221.5,0.9667,1,1,0,0.1193,3
2019-08-31,3,98,11,9,0,326.7,1.0,0,1,0,0.0841,3
2019-09-30,3,98,4,4,0,735.0,1.0,0,1,0,0.0392,3
2019-10-31,3,99,10,9,1,330.0,0.9667,1,1,0,0.0833,3
2019-11-30,3,99,4,4,1,742.5,0.9667,1,1,0,0.0388,3
2019-12-31,3,101,13,11,1,275.5,0.9667,1,1,0,0.0982,3
2020-01-31,3,101,2,2,2,1515.0,0.9333,1,1,0,0.0194,3
2020-02-29,3,102,9,8,1,382.5,0.9667,1,1,0,0.0727,3
2020-03-31,3,105,15,12,1,262.5,0.9667,1,1,0,0.1026,3
2020-04-30,3,108,21,18,1,180.0,0.9667,1,1,0,0.1429,3
2020-05-31,3,110,13,11,2,300.0,0.9333,1,1,0,0.0909,3
2020-06-30,3,112,16,14,0,240.0,1.0,0,1,0,0.1111,3
2020-07-31,3,113,8,7,2,484.3,0.9333,1,1,0,0.0583,3
2020-08-31,3,114,9,8,2,427.5,0.9333,1,1,0,0.0656,3
2020-09-30,3,114,6,6,0,570.0,1.0,0,1,0,0.05,3
2020-10-31,3,114,4,4,1,855.0,0.9667,1,1,0,0.0339,3
2020-11-30,3,115,6,5,1,690.0,0.9667,1,1,0,0.0417,3
2020-12-31,3,116,11,10,1,348.0,0.9667,1,1,0,0.0794,3
2021-01-31,3,117,9,8,0,438.8,1.0,0,1,0,0.064,3
2021-02-28,3,118,8,7,1,505.7,0.9667,1,1,0,0.056,3
2021-03-31,3,119,8,7,2,510.0,0.9333,1,1,0,0.0556,3
2021-04-30,3,121,15,13,2,279.2,0.9333,1,1,0,0.097,3
2021-05-31,3,124,18,15,2,248.0,0.9333,1,1,0,0.1079,3
2021-06-30,3,124,9,9,2,413.3,0.9333,1,1,0,0.0677,3
2021-07-31,3,125,11,10,0,375.0,1.0,0,1,0,0.0741,3
2021-08-31,3,125,4,4,2,937.5,0.9333,1,1,0,0.031,3
2021-09-30,3,126,12,11,0,343.6,1.0,0,1,0,0.0803,3
2021-10-31,3,127,12,11,1,346.4,0.9667,1,1,0,0.0797,3
2021-11-30,3,129,12,10,0,387.0,1.0,0,1,0,0.0719,3
2021-12-31,3,130,12,11,2,354.5,0.9333,1,1,0,0.078,3
2022-01-31,3,131,8,7,1,561.4,0.9667,1,1,0,0.0507,3
2022-02-28,3,133,11,9,0,443.3,1.0,0,1,0,0.0634,3
2022-03-31,3,135,14,12,0,337.5,1.0,0,1,0,0.0816,3
2022-04-30,3,138,17,14,2,295.7,0.9333,1,1,0,0.0921,3
2022-05-31,3,139,6,5,0,834.0,1.0,0,1,0,0.0347,3
2022-06-30,3,143,24,20,1,214.5,0.9667,1,1,0,0.1227,3
2022-07-31,3,144,8,7,1,617.1,0.9667,1,1,0,0.0464,3
2022-08-31,3,148,18,14,0,317.1,1.0,0,1,0,0.0864,3
2022-09-30,3,149,10,9,0,496.7,1.0,0,1,0,0.057,3
2022-10-31,3,150,12,11,0,409.1,1.0,0,1,0,0.0683,3
2022-11-30,3,151,5,4,1,1132.5,0.9667,1,1,0,0.0258,3
2022-12-31,3,151,5,5,2,906.0,0.9333,1,1,0,0.0321,3
2012-07-31,4,22,8,7,2,94.3,0.9333,1,1,0,0.2414,4
2012-08-31,4,24,17,15,1,48.0,0.9667,1,0,0,0.3846,4
