zip,city,district,region
1.0,Da Lat,District #34,West
2.0,Rach Gia,District #34,West
3.0,Long Xuyen,District #34,West
4.0,Soc Trang,District #34,West
5.0,My Tho,District #34,West
7.0,Can Tho,District #34,West
9.0,Vinh Long,District #34,West
10.0,Tra Vinh,District #34,West
12.0,Rach Gia,District #35,West
14.0,Ca Mau,District #39,West
15.0,Vinh Long,District #39,West
16.0,My Tho,District #38,West
17.0,Vung Tau,District #36,West
18.0,Soc Trang,District #37,West
19.0,Bac Lieu,District #35,West
20.0,Bien Hoa,District #36,West
22.0,Vung Tau,District #35,West
26.0,Vinh Long,District #36,West
27.0,Tam Ky,District #20,Central
28.0,Da Lat,District #35,West
29.0,Vinh Long,District #35,West
31.0,Can Tho,District #35,West
32.0,Bac Lieu,District #37,West
34.0,Buon Ma Thuot,District #35,West
37.0,My Tho,District #35,West
39.0,Pleiku,District #35,West
40.0,Buon Ma Thuot,District #36,West
41.0,Ninh Binh,District #10,East
42.0,Son Tay,District #10,East
43.0,Nam Dinh,District #10,East
44.0,Ca Mau,District #35,West
45.0,Bac Ninh,District #12,East
47.0,Tra Vinh,District #35,West
48.0,Bien Hoa,District #35,West
49.0,Ho Chi Minh City,District #35,West
51.0,Long Xuyen,District #35,West
53.0,Viet Tri,District #10,East
56.0,Tra Vinh,District #33,West
57.0,Rach Gia,District #37,West
58.0,Tra Vinh,District #36,West
59.0,Quy Nhon,District #28,Central
60.0,Da Nang,District #28,Central
61.0,Ben Tre,District #37,West
63.0,Ca Mau,District #33,West
65.0,Ben Tre,District #35,West
67.0,Phan Thiet,District #22,Central
71.0,Can Tho,District #33,West
73.0,My Tho,District #33,West
74.0,Buon Ma Thuot,District #33,West
77.0,Ben Tre,District #34,West
84.0,Ha Long,District #08,East
97.0,Hanoi,District #10,East
98.0,Phu Ly,District #10,East
100.0,Rach Gia,District #33,West
116.0,Phan Thiet,District #24,Central
119.0,Phan Rang-Thap Cham,District #24,Central
121.0,Nha Trang,District #24,Central
152.0,Bac Ninh,District #07,East
158.0,Son Tay,District #02,East
160.0,Nha Trang,District #28,Central
164.0,Phan Thiet,District #32,Central
165.0,Quang Ngai,District #32,Central
166.0,Quy Nhon,District #32,Central
188.0,Quy Nhon,District #23,Central
197.0,Can Tho,District #39,West
198.0,Bac Lieu,District #34,West
199.0,Long Xuyen,District #39,West
501.0,Bac Giang,District #03,East
544.0,Phu Ly,District #03,East
1001.0,Bac Ninh,District #02,East
1002.0,Cam Pha,District #02,East
1003.0,Uong Bi,District #02,East
1004.0,Ninh Binh,District #02,East
1005.0,Bac Giang,District #02,East
1011.0,Ninh Binh,District #01,East
1012.0,Hai Phong,District #02,East
1013.0,Thai Nguyen,District #02,East
1020.0,Viet Tri,District #02,East
1026.0,Hai Phong,District #01,East
1027.0,Hanoi,District #02,East
1029.0,Lao Cai,District #01,East
1033.0,Lao Cai,District #02,East
1035.0,Ha Long,District #02,East
1070.0,Phu Ly,District #01,East
1077.0,Phu Ly,District #02,East
1084.0,Uong Bi,District #01,East
1104.0,Nam Dinh,District #02,East
1201.0,Bac Ninh,District #01,East
1202.0,Nam Dinh,District #01,East
1203.0,Ha Long,District #01,East
1224.0,Thai Nguyen,District #01,East
1225.0,Son Tay,District #01,East
1229.0,Bac Giang,District #01,East
1236.0,Hanoi,District #01,East
1258.0,Cam Pha,District #01,East
1259.0,Viet Tri,District #01,East
6807.0,Viet Tri,District #03,East
6820.0,Lao Cai,District #03,East
6830.0,Hai Phong,District #03,East
6831.0,Ninh Binh,District #03,East
6856.0,Ha Long,District #03,East
6870.0,Cam Pha,District #03,East
6903.0,Bac Ninh,District #03,East
6905.0,Hanoi,District #03,East
6907.0,Nam Dinh,District #03,East
6914.0,Son Tay,District #03,East
7001.0,Ninh Binh,District #04,East
7005.0,Uong Bi,District #03,East
7008.0,Phu Ly,District #04,East
7015.0,Thai Nguyen,District #03,East
7016.0,Son Tay,District #04,East
7018.0,Hanoi,District #04,East
7023.0,Bac Ninh,District #04,East
7027.0,Cam Pha,District #04,East
7033.0,Viet Tri,District #04,East
7036.0,Uong Bi,District #04,East
7040.0,Thai Nguyen,District #04,East
7041.0,Hai Phong,District #04,East
7050.0,Bac Giang,District #04,East
7051.0,Nam Dinh,District #04,East
7067.0,Ha Long,District #04,East
7076.0,Lao Cai,District #04,East
13026.0,Lao Cai,District #06,East
13034.0,Son Tay,District #06,East
13065.0,Thai Nguyen,District #06,East
13146.0,Uong Bi,District #06,East
13148.0,Hanoi,District #06,East
13160.0,Hai Phong,District #06,East
14001.0,Ninh Binh,District #06,East
14004.0,Nam Dinh,District #06,East
14006.0,Bac Giang,District #06,East
14010.0,Viet Tri,District #06,East
14024.0,Ha Long,District #06,East
14026.0,Bac Ninh,District #06,East
14027.0,Cam Pha,District #06,East
14047.0,Phu Ly,District #06,East
15001.0,Ninh Binh,District #13,East
15003.0,Lao Cai,District #13,East
15004.0,Nam Dinh,District #13,East
15006.0,Hai Phong,District #13,East
15007.0,Cam Pha,District #13,East
15009.0,Bac Giang,District #13,East
15010.0,Thai Nguyen,District #13,East
15012.0,Hanoi,District #13,East
15014.0,Phu Ly,District #13,East
15017.0,Viet Tri,District #13,East
15018.0,Bac Ninh,District #13,East
15028.0,Son Tay,District #13,East
15038.0,Ha Long,District #13,East
15045.0,Uong Bi,District #13,East
15310.0,Nam Dinh,District #15,East
15352.0,Bac Giang,District #15,East
15376.0,Uong Bi,District #15,East
15377.0,Bac Ninh,District #15,East
15533.0,Bac Giang,District #05,East
16113.0,Hanoi,District #14,East
16114.0,Phu Ly,District #14,East
16121.0,Son Tay,District #14,East
16125.0,Nam Dinh,District #14,East
16133.0,Hai Phong,District #14,East
16137.0,Bac Giang,District #14,East
16145.0,Uong Bi,District #14,East
16148.0,Viet Tri,District #14,East
16161.0,Thai Nguyen,District #14,East
16689.0,Thai Nguyen,District #05,East
16691.0,Nam Dinh,District #05,East
17001.0,Phu Ly,District #05,East
17006.0,Son Tay,District #05,East
17008.0,Hanoi,District #05,East
17012.0,Lao Cai,District #05,East
17013.0,Viet Tri,District #05,East
17014.0,Ha Long,District #05,East
17016.0,Uong Bi,District #05,East
17020.0,Hai Phong,District #05,East
17027.0,Ninh Binh,District #05,East
17038.0,Cam Pha,District #05,East
17080.0,Bac Ninh,District #05,East
20001.0,Viet Tri,District #07,East
20002.0,Uong Bi,District #07,East
20003.0,Thai Nguyen,District #07,East
20004.0,Hai Phong,District #07,East
20007.0,Phu Ly,District #07,East
20009.0,Cam Pha,District #07,East
20010.0,Ninh Binh,District #07,East
20013.0,Lao Cai,District #07,East
20016.0,Son Tay,District #07,East
20017.0,Ha Long,District #07,East
20020.0,Bac Giang,District #07,East
20022.0,Nam Dinh,District #07,East
20029.0,Hanoi,District #07,East
