product_id,product_name,size,color,price,cogs,categoriescategory_id,segmentssegment_id
536,SaigonFlex UC-01,S,green,11059.65,9704.842875,4,4
537,SaigonFlex UC-02,M,silver,9523.076012658228,5393.87025356962,4,4
538,SaigonFlex UC-03,L,pink,15951.633157894736,11371.919278263158,4,4
539,SaigonFlex UC-04,XL,yellow,15753.7172985782,8573.172953886256,4,4
540,SaigonFlex UC-05,S,red,15766.334536082471,14063.570406185569,4,4
541,SaigonFlex UC-06,M,black,16095.853846153846,15291.061153846153,4,4
542,SaigonFlex UC-07,L,orange,9213.817741935483,6152.066106290323,4,4
543,SaigonFlex UC-08,XL,blue,40.39417781955786,22.4877477162706,4,4
544,SaigonFlex UC-09,S,white,11334.106451612904,8528.91510483871,4,4
545,SaigonFlex UC-10,M,purple,10045.678411214954,9091.338962149532,4,4
546,SaigonFlex UC-11,L,green,16066.115625,13338.089191875,4,4
547,SaigonFlex UC-12,XL,silver,6544.421470588235,4298.376021882353,4,4
548,SaigonFlex UC-13,S,pink,6163.409553488373,4883.885730184186,4,4
549,SaigonFlex UC-14,M,yellow,6655.753057615516,5205.464466361095,4,4
550,SaigonFlex UC-15,L,red,5184.6242217898825,3404.7427264494163,4,4
551,SaigonFlex UC-16,XL,black,11245.40662055336,10683.136289525692,4,4
552,SaigonFlex UC-17,S,orange,11588.85,11009.4075,4,4
553,SaigonFlex UC-18,M,blue,11516.617241379312,9748.816494827586,4,4
554,SaigonFlex UC-19,L,white,10501.44709090909,6426.885619636364,4,4
555,SaigonFlex UC-20,XL,purple,10520.478996539792,9994.455046712805,4,4
556,SaigonFlex UC-21,S,green,10268.64391304348,9686.411803173914,4,4
557,SaigonFlex UC-22,M,silver,10090.442604501608,7554.714377990354,4,4
558,SaigonFlex UC-23,L,pink,18269.37,14094.818955,4,4
559,SaigonFlex UC-24,XL,yellow,7658.988223707352,6569.1141994737945,4,4
560,SaigonFlex UC-25,S,red,8428.274494382023,7354.512323797754,4,4
561,SaigonFlex UC-26,M,black,8951.670000000002,7753.936554000001,4,4
562,SaigonFlex UC-27,L,orange,11109.750837988828,10554.263296089386,4,4
563,SaigonFlex UC-28,XL,blue,9445.094755700327,8972.84001791531,4,4
564,SaigonFlex UC-29,S,white,11503.8,7876.651859999999,4,4
565,SaigonFlex UC-30,M,purple,10752.791426927502,9051.699823187571,4,4
566,SaigonFlex UC-31,L,green,11783.942843326886,9612.16217730174,4,4
567,SaigonFlex UC-32,XL,silver,10134.776887966806,8711.854212896265,4,4
568,SaigonFlex UC-33,S,pink,10532.698282442749,7628.833365973283,4,4
569,SaigonFlex UC-34,M,yellow,12601.622727272726,11971.54159090909,4,4
570,SaigonFlex UC-35,L,red,6934.761627906977,6364.030745930232,4,4
571,SaigonFlex UC-36,XL,black,6325.199999999999,6008.939999999999,4,4
572,SaigonFlex UC-37,S,orange,5428.175373134329,5156.766604477612,4,4
573,SaigonFlex UC-38,M,blue,3743.690322580645,2813.7576464516133,4,4
574,SaigonFlex UC-39,L,white,10912.659378640778,10134.58676494369,4,4
575,SaigonFlex UC-40,XL,purple,11157.957055214723,10600.059202453987,4,4
576,SaigonFlex UC-41,S,green,18775.840588235293,12572.302857882352,4,4
577,SaigonFlex UC-42,M,silver,12288.258347826088,9234.626148391304,4,4
578,SaigonFlex UC-43,L,pink,9414.213956043955,6648.317895758242,4,4
579,SaigonFlex UC-44,XL,yellow,15941.109130434785,14039.334811173912,4,4
580,SaigonFlex UC-45,S,red,9901.548539325842,9406.47111235955,4,4
581,SaigonFlex UC-46,M,black,16696.35,14125.112099999997,4,4
582,SaigonFlex UC-47,L,orange,4283.701578947369,3193.499527105263,4,4
583,SaigonFlex UC-48,XL,blue,6610.571739130435,4418.506150434782,4,4
584,SaigonFlex UC-49,S,white,7436.313925233644,4666.286988084112,4,4
585,SaigonFlex UC-50,M,purple,5044.252669537136,4792.040036060279,4,4
586,SaigonFlex UC-51,L,green,4552.686272040302,4325.051958438287,4,4
587,SaigonFlex UC-52,XL,silver,31.33370262797137,19.58344028160639,4,4
588,SaigonFlex UC-53,S,pink,7437.165180722891,6317.871821024096,4,4
589,SaigonFlex UC-54,M,yellow,10207.29366412214,7250.240689625954,4,4
590,SaigonFlex UC-55,L,red,10658.332964467008,10125.416316243656,4,4
591,SaigonFlex UC-56,XL,black,11048.621805273831,10496.190715010142,4,4
592,SaigonFlex UC-57,S,orange,11573.637804878048,7346.945278536587,4,4
593,SaigonFlex UC-58,M,blue,10942.190633484162,8946.335061936654,4,4
594,SaigonFlex UC-59,L,white,42.90873487037344,24.500482522900096,4,4
595,SaigonFlex UC-60,XL,purple,8975.727475247524,5284.908337425743,4,4
596,SaigonFlex UC-61,S,green,9577.146989690722,5842.05966371134,4,4
597,SaigonFlex UC-62,M,silver,60.89870697563103,38.963323338682926,4,4
598,SaigonFlex UC-63,L,pink,11489.45256880734,7924.275436706423,4,4
599,SaigonFlex UC-64,XL,yellow,10648.856285414482,10116.413471143758,4,4
600,SaigonFlex UC-65,S,red,9148.348757120662,4647.361168617297,4,4
601,SaigonFlex UC-66,M,black,15754.49563106796,14966.770849514562,4,4
602,SaigonFlex UC-67,L,orange,15756.270560747664,11752.60221126168,4,4
603,SaigonFlex UC-68,XL,blue,11026.336363636365,8163.899443636364,4,4
604,SaigonFlex UC-69,S,white,6135.298830630299,4141.940240558514,4,4
605,SaigonFlex UC-70,M,purple,4940.962741935484,3748.214336032258,4,4
606,SaigonFlex UC-71,L,green,4042.8549822064056,3552.4566728647687,4,4
607,SaigonFlex UC-72,XL,silver,11408.04,7676.470116,4,4
608,SaigonFlex UC-73,S,pink,11699.1,11114.145,4,4
609,SaigonFlex UC-74,M,yellow,10426.571033557047,8987.704230926174,4,4
610,SaigonFlex UC-75,L,red,11122.506,9587.600172,4,4
611,SaigonFlex UC-76,XL,black,17959.956617647054,12395.962057499995,4,4
612,SaigonFlex UC-77,S,orange,11727.45,7625.187989999999,4,4
613,SaigonFlex UC-78,M,blue,30.15463522343498,17.203640475749392,4,4
614,SaigonFlex UC-79,L,white,8263.487647058824,6609.137420117648,4,4
615,SaigonFlex UC-80,XL,purple,8328.96637057599,4873.278223424012,4,4
616,SaigonFlex UC-81,S,green,8545.56230769231,7898.663241,4,4
617,SaigonFlex UC-82,M,silver,10151.263043478262,6680.546208913043,4,4
618,SaigonFlex UC-83,L,pink,14262.4125,13549.291875,4,4
619,SaigonFlex UC-84,XL,yellow,11336.85,6509.61927,4,4
620,SaigonFlex UC-85,S,red,30.15483325288156,17.16017393108335,4,4
621,SaigonFlex UC-86,M,black,62.2827889133325,34.48317542707641,4,4
622,SaigonFlex UC-87,L,orange,9946.84289008455,7374.589318708685,4,4
623,SaigonFlex UC-88,XL,blue,17011.958108108105,9844.820157162165,4,4
624,SaigonFlex UC-89,S,white,45.01401526716507,26.88267126437134,4,4
625,SaigonFlex UC-90,M,purple,16075.5,8733.81915,4,4
626,SaigonFlex UC-91,L,green,17013.896946107783,16163.202098802392,4,4
627,SaigonFlex UC-92,XL,silver,11006.55,7708.987620000001,4,4
628,SaigonFlex UC-93,S,pink,11516.4,9278.76348,4,4
629,SaigonFlex UC-94,M,yellow,9968.7,9470.265,4,4
630,SaigonFlex UC-95,L,red,6176.85,3866.090415,4,4
631,SaigonFlex UC-96,XL,black,4677.019784172662,4443.168794964029,4,4
632,SaigonFlex UC-97,S,orange,4844.7,2618.07588,4,4
633,SaigonFlex UC-98,M,blue,6803.801506849315,3769.3060347945207,4,4
634,SaigonFlex UC-99,L,white,10788.273954983924,6005.8321107395495,4,4
635,SaigonFlex UC-00,XL,purple,10745.220588235294,9205.430477941176,4,4
636,SaigonFlex UC-01,S,green,10891.997347272134,9183.042963485135,4,4
637,SaigonFlex UC-02,M,silver,10938.358303886926,8362.374923321555,4,4
638,SaigonFlex UC-03,L,pink,12105.45,11500.1775,4,4
639,SaigonFlex UC-04,XL,yellow,10586.428125,10057.10671875,4,4
640,SaigonFlex UC-05,S,red,9757.343076923078,9269.475923076923,4,4
641,SaigonFlex UC-06,M,black,9957.778918764305,8252.011389979976,4,4
642,SaigonFlex UC-07,L,orange,10862.120949720673,7602.398452709498,4,4
643,SaigonFlex UC-08,XL,blue,13917.75,9639.43365,4,4
644,SaigonFlex UC-09,S,white,10607.752256033578,8623.041808929696,4,4
645,SaigonFlex UC-10,M,purple,8950.095000000001,8502.590250000001,4,4
646,SaigonFlex UC-11,L,green,11258.1,8881.51509,4,4
647,SaigonFlex UC-12,XL,silver,11033.912927650028,6038.860545302861,4,4
648,SaigonFlex UC-13,S,pink,10560.816,10032.7752,4,4
649,SaigonFlex UC-14,M,yellow,10084.343684210527,9580.1265,4,4
650,SaigonFlex UC-15,L,red,6110.106266552755,5804.600953225117,4,4
651,SaigonFlex UC-16,XL,black,9885.465808383236,5627.795684712575,4,4
652,SaigonFlex UC-17,S,orange,9960.631578947368,9462.6,4,4
653,SaigonFlex UC-18,M,blue,10584.532361623616,10055.305743542434,4,4
654,SaigonFlex UC-19,L,white,12297.939230769232,11683.04226923077,4,4
655,SaigonFlex UC-20,XL,purple,11836.938926174498,7837.237263020134,4,4
656,SaigonFlex UC-21,S,green,10963.752007822686,8877.35000073403,4,4
657,SaigonFlex UC-22,M,silver,11020.21447260834,10469.203748977923,4,4
658,SaigonFlex UC-23,L,pink,11169.79043478261,8112.6187927826095,4,4
659,SaigonFlex UC-24,XL,yellow,18102.50513513513,10184.469389027028,4,4
660,SaigonFlex UC-25,S,red,8500.351456310678,5856.742153398059,4,4
661,SaigonFlex UC-26,M,black,27.4457202657164,16.64539331995362,4,4
662,SaigonFlex UC-27,L,orange,10139.144776119403,5848.258706865672,4,4
663,SaigonFlex UC-28,XL,blue,8397.9,7978.004999999999,4,4
664,SaigonFlex UC-29,S,white,41.1417745385124,22.89831299904119,4,4
665,SaigonFlex UC-30,M,purple,27.512292997345988,17.265415450344953,4,4
666,SaigonFlex UC-31,L,green,9766.924054054054,7154.271869594596,4,4
667,SaigonFlex UC-32,XL,silver,9799.404146341463,9309.43393902439,4,4
668,SaigonFlex UC-33,S,pink,16826.67,12741.154524,4,4
669,SaigonFlex UC-34,M,yellow,16376.85,13867.91658,4,4
670,SaigonFlex UC-35,L,red,10899.88914893617,10354.894691489362,4,4
671,SaigonFlex UC-36,XL,black,11194.626315789474,7866.463912105264,4,4
672,SaigonFlex UC-37,S,orange,11024.427272727276,10473.20590909091,4,4
673,SaigonFlex UC-38,M,blue,27.486860722153324,16.36372210394695,4,4
674,SaigonFlex UC-39,L,white,8419.577208862469,6274.268936044312,4,4
675,SaigonFlex UC-40,XL,purple,7873.649577861162,5241.488523982176,4,4
676,SaigonFlex UC-41,S,green,9891.036652260638,9195.696775606715,4,4
677,SaigonFlex UC-42,M,silver,36.480756727820456,21.977431584878826,4,4
678,SaigonFlex UC-43,L,pink,15.4049348383473,9.151706300666453,4,4
679,SaigonFlex UC-44,XL,yellow,16.610464145853648,9.801441325584722,4,4
680,SaigonFlex UC-45,S,red,26.44547294094096,16.0250054413446,4,4
681,SaigonFlex UC-46,M,black,8907.554838709679,8272.446178709677,4,4
682,SaigonFlex UC-47,L,orange,11641.827272727272,11059.735909090909,4,4
683,SaigonFlex UC-48,XL,blue,10477.884955752212,6262.6318380530965,4,4
684,SaigonFlex UC-49,S,white,10989.136432160803,10439.679610552765,4,4
685,SaigonFlex UC-50,M,purple,10129.728957654725,8328.663148983715,4,4
686,SaigonFlex UC-51,L,green,9634.396153846154,5513.764918846154,4,4
687,SaigonFlex UC-52,XL,silver,5610.653125000001,4180.4976434375,4,4
688,SaigonFlex UC-53,S,pink,6694.905,5116.246400999999,4,4
689,SaigonFlex UC-54,M,yellow,4162.627714977795,3842.937906467501,4,4
690,SaigonFlex UC-55,L,red,4598.817231121282,3100.062695498856,4,4
691,SaigonFlex UC-56,XL,black,4663.545057034221,4430.36780418251,4,4
692,SaigonFlex UC-57,S,orange,3023.37,1991.191482,4,4
693,SaigonFlex UC-58,M,blue,22.084313317745423,12.489209747825754,4,4
189,DragonWear UC-01,M,yellow,9513.0,6181.5474,4,4
190,DragonWear UC-02,L,red,9443.7,7547.405040000001,4,4
191,DragonWear UC-03,XL,black,9513.0,9029.7396,4,4
192,DragonWear UC-04,S,orange,37.55095959605123,21.336185365589483,4,4
193,DragonWear UC-05,M,blue,9191.7,7248.57462,4,4
194,DragonWear UC-06,L,white,23.029830867355027,14.651084686631249,4,4
195,DragonWear UC-07,XL,purple,9191.7,5645.5421400000005,4,4
196,DragonWear UC-08,S,green,10073.7,7970.31144,4,4
387,LotusWear UC-01,XL,silver,11966.85,11368.5075,4,4
388,LotusWear UC-02,S,pink,12720.344318181818,12084.327102272728,4,4
389,LotusWear UC-03,M,yellow,11063.057547169812,10102.784152075472,4,4
390,LotusWear UC-04,L,red,16691.85,12462.13521,4,4
391,LotusWear UC-05,XL,black,12281.85,7574.216895,4,4
938,HanoiStreet UC-01,L,pink,18.82298104757963,12.133510917425138,4,4
939,HanoiStreet UC-02,XL,yellow,4494.106487018096,4269.401162667191,4,4
940,HanoiStreet UC-03,S,red,8270.437924528303,7856.916028301888,4,4
941,HanoiStreet UC-04,M,black,11339.37,9661.14324,4,4
942,HanoiStreet UC-05,L,orange,7413.811748878924,6891.879401757848,4,4
