return_id,return_date,return_reason,return_quantity,refund_amount,orders_enrichedorder_id,productsproduct_id
RET-000001,2012-07-25,late_delivery,6,52458.01,2,609
RET-000002,2012-07-16,wrong_size,2,5141.37,32,1862
RET-000003,2012-07-16,wrong_size,1,5315.95,35,2359
RET-000004,2012-07-11,wrong_size,4,6493.75,47,1449
RET-000005,2012-07-25,wrong_size,1,1740.76,47,1450
RET-000006,2012-07-19,defective,1,10086.33,59,671
RET-000007,2012-07-16,wrong_size,1,5713.22,67,604
RET-000008,2012-07-17,defective,1,9724.09,102,467
RET-000010,2012-07-30,wrong_size,5,43387.54,108,635
RET-000012,2012-07-29,changed_mind,2,19200.35,132,103
RET-000013,2012-07-12,not_as_described,1,4834.0,135,1668
RET-000014,2012-07-18,changed_mind,2,21480.07,144,396
RET-000015,2012-07-29,changed_mind,8,45752.21,146,2064
RET-000016,2012-07-15,changed_mind,1,3585.13,147,1156
RET-000018,2012-07-14,wrong_size,1,977.65,192,1086
RET-000019,2012-07-28,wrong_size,2,2963.07,211,1228
RET-000020,2012-07-27,defective,1,1461.39,305,2250
RET-000021,2012-07-20,wrong_size,1,1511.59,305,2251
RET-000022,2012-07-14,late_delivery,5,51989.35,336,396
RET-000024,2012-07-31,defective,1,10993.16,373,647
RET-000025,2012-07-27,changed_mind,1,1030.19,405,1085
RET-000026,2012-07-24,changed_mind,1,996.14,405,1086
RET-000027,2012-07-28,defective,1,9498.84,409,635
RET-000028,2012-08-04,wrong_size,2,18304.91,412,676
RET-000029,2012-07-24,defective,5,42109.26,423,495
RET-000030,2012-07-21,changed_mind,4,50712.69,430,475
RET-000032,2012-07-17,not_as_described,3,3128.82,530,1926
RET-000033,2012-07-31,defective,1,989.52,530,1927
RET-000034,2012-07-19,changed_mind,3,2984.49,533,1003
RET-000035,2012-07-18,changed_mind,2,1722.68,535,757
RET-000036,2012-07-27,defective,2,12072.58,573,604
RET-000037,2012-08-04,defective,5,23287.95,574,1001
RET-000038,2012-07-25,wrong_size,5,47746.91,584,396
RET-000039,2012-07-22,not_as_described,8,78524.23,587,94
RET-000040,2012-07-27,defective,1,5473.26,610,604
RET-000043,2012-07-25,changed_mind,1,1753.14,637,739
RET-000044,2012-07-22,changed_mind,5,42988.3,665,676
RET-000047,2012-07-26,wrong_size,2,1313.76,703,785
RET-000048,2012-08-05,wrong_size,6,3896.87,703,786
RET-000049,2012-07-22,defective,4,52503.65,705,413
RET-000050,2012-07-15,not_as_described,1,9949.49,720,396
RET-000052,2012-07-19,not_as_described,2,2735.52,751,725
RET-000053,2012-07-22,not_as_described,4,5243.86,751,726
RET-000054,2012-07-26,not_as_described,2,1783.07,783,1014
RET-000055,2012-07-29,wrong_size,8,50934.33,790,1201
RET-000056,2012-07-24,wrong_size,1,1035.69,815,2240
RET-000057,2012-08-04,wrong_size,2,2126.95,815,2241
RET-000059,2012-07-19,wrong_size,1,3063.89,839,1490
RET-000060,2012-07-19,wrong_size,4,16827.48,841,1451
RET-000061,2012-07-26,wrong_size,3,13759.34,841,1452
RET-000062,2012-07-29,wrong_size,1,3013.98,879,992
RET-000066,2012-07-31,changed_mind,1,6477.59,953,2064
RET-000067,2012-07-25,defective,2,5172.68,982,1047
RET-000068,2012-07-25,changed_mind,1,1525.9,1019,2253
RET-000070,2012-08-04,changed_mind,2,6379.13,1039,1916
RET-000071,2012-07-25,not_as_described,6,13525.45,1049,1120
RET-000072,2012-07-23,defective,4,37090.45,1064,647
RET-000073,2012-07-28,defective,3,10394.13,1070,2269
RET-000074,2012-08-06,wrong_size,6,33066.93,1110,2332
RET-000076,2012-07-28,changed_mind,5,3996.66,1155,2234
RET-000078,2012-07-29,defective,1,1657.8,1169,2204
RET-000079,2012-07-23,wrong_size,2,1804.34,1239,2407
RET-000082,2012-07-28,not_as_described,1,3588.15,1294,2388
RET-000083,2012-07-27,defective,8,29572.42,1323,573
RET-000084,2012-07-21,changed_mind,2,28510.69,1338,484
RET-000085,2012-07-26,defective,5,3623.06,1358,2234
RET-000086,2012-07-29,wrong_size,3,2321.11,1358,2235
RET-000087,2012-08-07,defective,1,3597.4,1368,1426
RET-000088,2012-07-17,defective,1,10091.16,1376,565
RET-000090,2012-07-29,defective,3,28117.7,1395,622
RET-000091,2012-07-24,changed_mind,5,33389.26,1434,559
RET-000092,2012-07-24,wrong_size,1,3769.33,1447,606
RET-000093,2012-07-21,changed_mind,7,47099.43,1476,2054
RET-000095,2012-07-26,defective,1,8450.74,1499,596
RET-000096,2012-08-02,wrong_size,2,7072.27,1513,1227
RET-000097,2012-07-21,wrong_size,6,13192.91,1519,2379
RET-000098,2012-08-09,not_as_described,1,3498.2,1524,976
RET-000099,2012-07-22,wrong_size,2,12197.78,1536,895
RET-000102,2012-07-29,defective,1,3556.47,1565,976
RET-000103,2012-07-31,wrong_size,2,1339.38,1600,1974
RET-000104,2012-07-28,not_as_described,5,5051.09,1608,2396
RET-000105,2012-07-30,defective,3,17521.98,1623,604
RET-000106,2012-08-10,wrong_size,1,4607.58,1642,1360
RET-000107,2012-08-05,late_delivery,2,1296.72,1669,785
RET-000108,2012-07-31,wrong_size,1,866.92,1674,758
RET-000109,2012-07-25,late_delivery,2,18018.15,1686,622
RET-000112,2012-08-13,not_as_described,2,1287.11,1740,785
RET-000113,2012-08-09,changed_mind,2,1301.2,1740,786
RET-000114,2012-08-06,defective,2,15133.06,1789,1139
RET-000115,2012-07-23,wrong_size,1,10007.74,1803,671
RET-000116,2012-07-31,wrong_size,5,53670.76,1818,826
RET-000117,2012-08-03,not_as_described,1,956.03,1841,2400
RET-000118,2012-08-09,late_delivery,5,35354.54,1850,2331
RET-000122,2012-07-26,wrong_size,1,11013.95,1911,467
RET-000124,2012-07-22,changed_mind,1,5013.12,2057,1230
RET-000125,2012-07-27,defective,1,674.79,2074,2255
RET-000126,2012-07-30,wrong_size,1,632.62,2075,2254
RET-000129,2012-08-04,late_delivery,3,13449.34,2133,550
RET-000130,2012-07-23,not_as_described,1,14880.18,2138,484
RET-000131,2012-07-28,wrong_size,1,7441.06,2170,2384
RET-000132,2012-07-23,late_delivery,7,63977.13,2174,596
RET-000133,2012-08-09,defective,3,24861.66,2180,596
RET-000134,2012-07-31,defective,4,36202.95,2182,676
RET-000135,2012-07-28,changed_mind,1,11806.56,2191,826
RET-000136,2012-08-06,not_as_described,1,3439.77,2204,964
RET-000137,2012-07-31,changed_mind,1,1469.26,2213,2250
RET-000138,2012-08-11,wrong_size,1,1488.29,2213,2251
RET-000141,2012-08-01,wrong_size,1,2893.39,2270,753
RET-000143,2012-07-30,wrong_size,4,26661.58,2325,915
RET-000144,2012-08-03,wrong_size,4,20661.21,2331,990
RET-000146,2012-08-09,not_as_described,3,15035.92,2367,966
RET-000151,2012-08-14,wrong_size,2,25515.22,2422,819
RET-000152,2012-08-10,wrong_size,4,4338.81,2468,1006
RET-000153,2012-08-11,not_as_described,8,7334.93,2470,1484
RET-000155,2012-07-27,changed_mind,4,2908.81,2524,2255
RET-000156,2012-07-29,not_as_described,1,1169.99,2532,2396
RET-000157,2012-08-10,wrong_size,3,16457.87,2538,2070
RET-000158,2012-07-31,not_as_described,8,26810.39,2543,606
RET-000159,2012-08-10,wrong_size,1,9034.59,2545,609
RET-000160,2012-08-03,wrong_size,4,15279.77,2548,2074
RET-000161,2012-08-03,wrong_size,7,36252.76,2567,966
RET-000163,2012-08-10,wrong_size,3,12779.24,2628,1298
RET-000164,2012-08-07,changed_mind,4,6123.19,2636,1061
RET-000165,2012-08-07,defective,1,1359.22,2651,2252
RET-000168,2012-08-03,wrong_size,1,9780.3,2715,635
RET-000169,2012-08-03,wrong_size,3,5027.16,2730,1228
RET-000170,2012-07-30,not_as_described,2,10684.82,2780,990
RET-000171,2012-08-05,wrong_size,4,7393.82,2788,981
RET-000173,2012-08-02,not_as_described,3,14895.72,2846,513
RET-000174,2012-07-31,late_delivery,3,18245.16,2858,604
RET-000175,2012-08-10,changed_mind,3,36474.91,2875,475
RET-000177,2012-08-03,defective,2,3570.74,2927,1114
RET-000179,2012-08-03,not_as_described,2,7432.63,2991,1215
RET-000181,2012-08-01,wrong_size,4,25267.97,3050,915
RET-000182,2012-08-03,wrong_size,3,2098.44,3054,785
RET-000183,2012-07-30,late_delivery,2,1360.99,3054,786
RET-000184,2012-08-03,late_delivery,2,7295.16,3092,2226
RET-000185,2012-08-08,wrong_size,1,3285.94,3092,2227
RET-000187,2012-08-04,not_as_described,3,2387.25,3110,757
RET-000188,2012-07-31,late_delivery,2,1657.41,3110,758
RET-000191,2012-08-10,wrong_size,2,9683.54,3161,910
RET-000192,2012-07-31,wrong_size,4,19559.76,3164,1144
RET-000193,2012-08-10,not_as_described,5,17881.67,3260,1065
