review_id,review_date,rating,review_title,customerscustomer_id,productsproduct_id
REV-0000001,2012-07-24,5,Highly recommend,58578,2400
REV-0000002,2012-08-03,5,Very satisfied,58811,396
REV-0000003,2012-07-23,5,Great quality,49101,1431
REV-0000005,2012-08-05,5,Great quality,41028,1668
REV-0000006,2012-07-17,4,Good overall,42030,2352
REV-0000008,2012-08-12,5,Great quality,42962,2241
REV-0000009,2012-07-19,5,Very satisfied,12213,1041
REV-0000010,2012-08-09,4,Solid choice,13426,671
REV-0000011,2012-07-27,5,Very satisfied,9473,396
REV-0000012,2012-07-17,5,Highly recommend,39696,671
REV-0000013,2012-08-01,4,Works well,39739,475
REV-0000018,2012-07-21,5,Excellent product!,70880,467
REV-0000019,2012-07-10,5,Highly recommend,53482,2071
REV-0000020,2012-07-24,5,Great quality,26013,2064
REV-0000021,2012-08-04,5,Great quality,27823,635
REV-0000022,2012-08-10,4,Works well,28488,2055
REV-0000023,2012-08-07,4,Works well,105900,400
REV-0000024,2012-07-31,5,Highly recommend,88049,396
REV-0000025,2012-07-21,5,Very satisfied,115808,475
REV-0000026,2012-07-29,4,Solid choice,116865,580
REV-0000027,2012-07-18,5,Highly recommend,117647,445
REV-0000028,2012-07-29,3,Average product,117866,1173
REV-0000030,2012-07-19,4,Solid choice,94482,635
REV-0000032,2012-08-04,4,Happy with purchase,123891,559
REV-0000033,2012-07-23,5,Highly recommend,108819,396
REV-0000035,2012-07-22,4,Solid choice,151531,1502
REV-0000036,2012-07-17,5,Highly recommend,136004,103
REV-0000039,2012-07-28,5,Highly recommend,41328,681
REV-0000040,2012-07-23,4,Solid choice,14351,396
REV-0000041,2012-08-02,4,Good overall,9206,676
REV-0000042,2012-07-30,4,Solid choice,169,631
REV-0000043,2012-08-05,5,Very satisfied,5167,2252
REV-0000044,2012-07-18,5,Very satisfied,5167,2253
REV-0000045,2012-07-18,5,Excellent product!,8269,467
REV-0000048,2012-07-13,5,Very satisfied,44235,1847
REV-0000050,2012-07-13,4,Works well,38541,2253
REV-0000051,2012-07-16,4,Works well,60924,596
REV-0000052,2012-08-07,5,Very satisfied,70475,2083
REV-0000053,2012-07-19,4,Works well,46502,1040
REV-0000054,2012-07-26,5,Great quality,35241,1188
REV-0000055,2012-08-06,4,Solid choice,34077,396
REV-0000056,2012-08-10,5,Excellent product!,33573,467
REV-0000057,2012-07-14,2,Below expectations,31358,2250
REV-0000058,2012-07-24,4,Solid choice,102825,573
REV-0000059,2012-08-04,5,Very satisfied,92267,467
REV-0000060,2012-07-22,5,Excellent product!,117697,573
REV-0000062,2012-08-01,5,Highly recommend,121189,488
REV-0000063,2012-07-15,4,Happy with purchase,95998,1062
REV-0000064,2012-07-26,5,Excellent product!,101706,671
REV-0000069,2012-08-08,4,Solid choice,129553,248
REV-0000072,2012-08-07,4,Solid choice,140143,1915
REV-0000073,2012-08-04,5,Great quality,138668,2332
REV-0000074,2012-07-25,3,Average product,150786,2269
REV-0000075,2012-07-22,4,Good overall,153818,1085
REV-0000076,2012-07-21,5,Excellent product!,54226,676
REV-0000077,2012-07-29,4,Happy with purchase,103300,475
REV-0000080,2012-07-21,5,Very satisfied,153955,596
REV-0000081,2012-07-16,3,"Decent, nothing special",132875,635
REV-0000082,2012-08-09,4,Happy with purchase,56609,2359
REV-0000083,2012-07-30,5,Excellent product!,56671,2240
REV-0000084,2012-07-27,1,Would not recommend,40894,580
REV-0000085,2012-07-20,5,Very satisfied,12402,2055
REV-0000086,2012-07-12,5,Highly recommend,16180,2045
REV-0000087,2012-08-10,2,Would not reorder,1922,573
REV-0000089,2012-07-30,4,Solid choice,65382,2331
REV-0000090,2012-07-20,5,Highly recommend,64309,676
REV-0000091,2012-07-20,4,Works well,44795,992
REV-0000092,2012-07-24,4,Works well,68550,631
REV-0000095,2012-07-20,4,Works well,26362,1870
REV-0000097,2012-08-07,5,Highly recommend,31424,475
REV-0000099,2012-08-10,4,Happy with purchase,114480,691
REV-0000100,2012-07-21,5,Excellent product!,103557,826
REV-0000101,2012-08-08,5,Very satisfied,84339,635
REV-0000102,2012-07-28,4,Works well,122606,676
REV-0000103,2012-08-03,3,"Decent, nothing special",125561,532
REV-0000106,2012-07-23,3,Average product,140470,573
REV-0000107,2012-08-05,4,Good overall,140985,936
REV-0000108,2012-08-05,1,Very disappointed,138524,559
REV-0000109,2012-07-17,4,Solid choice,138919,604
REV-0000110,2012-07-17,1,Very disappointed,139497,769
REV-0000111,2012-08-10,1,Poor quality,139497,770
REV-0000113,2012-07-26,4,Works well,152585,739
REV-0000114,2012-07-26,5,Excellent product!,152585,740
REV-0000115,2012-07-24,5,Excellent product!,148064,740
REV-0000117,2012-08-02,5,Great quality,12964,596
REV-0000118,2012-07-24,5,Great quality,12014,635
REV-0000119,2012-07-20,4,Works well,16744,964
REV-0000121,2012-07-15,4,Solid choice,2820,726
REV-0000122,2012-08-02,4,Happy with purchase,2816,725
REV-0000123,2012-08-02,4,Good overall,98219,989
REV-0000124,2012-07-19,4,Solid choice,28150,826
REV-0000125,2012-07-31,4,Good overall,29562,604
REV-0000128,2012-07-26,4,Happy with purchase,103231,396
REV-0000130,2012-07-28,1,Poor quality,89740,488
