shipper_id,zip
SHP00001,38006.0
SHP00002,52231.0
SHP00003,3.0
SHP00004,50611.0
SHP00005,75102.0
SHP00006,52540.0
SHP00007,30008.0
SHP00008,40003.0
SHP00009,98.0
SHP00010,90029.0
SHP00011,6914.0
SHP00012,20017.0
SHP00013,75849.0
SHP00014,164.0
SHP00015,13034.0
SHP00016,38017.0
SHP00017,69141.0
SHP00018,27028.0
SHP00019,64741.0
SHP00020,50008.0
SHP00021,50025.0
SHP00022,24203.0
SHP00023,13146.0
SHP00024,15352.0
SHP00025,37501.0
SHP00026,40003.0
SHP00027,27013.0
SHP00028,14027.0
SHP00029,50006.0
SHP00030,59008.0
SHP00031,50028.0
SHP00032,7023.0
SHP00033,30037.0
SHP00034,160.0
SHP00035,50058.0
SHP00036,50027.0
SHP00037,64841.0
SHP00038,49862.0
SHP00039,23843.0
SHP00040,4.0
SHP00041,26.0
SHP00042,46323.0
SHP00043,4.0
SHP00044,64738.0
SHP00045,20016.0
SHP00046,6903.0
SHP00047,51.0
SHP00048,79847.0
SHP00049,26.0
SHP00050,36533.0
SHP00051,24086.0
SHP00052,7008.0
SHP00053,50002.0
SHP00054,1229.0
SHP00055,13065.0
SHP00056,37.0
SHP00057,17038.0
SHP00058,20002.0
SHP00059,32.0
SHP00060,7005.0
SHP00061,49815.0
SHP00062,75846.0
SHP00063,43316.0
SHP00064,73.0
SHP00065,38007.0
SHP00066,1236.0
SHP00067,15014.0
SHP00068,27013.0
SHP00069,1002.0
SHP00070,64750.0
SHP00071,121.0
SHP00072,59001.0
SHP00073,23845.0
SHP00074,69133.0
SHP00075,16.0
SHP00076,1011.0
SHP00077,188.0
SHP00078,37544.0
SHP00079,49.0
SHP00080,49728.0
