,promo_id,promo_name,promo_type,discount_value,start_date,end_date,applicable_category,promo_channel,stackable_flag,min_order_value
0,PROMO-0039-0001,Fall Launch 2020,percentage,10.0,2020-08-30,2020-10-01,all_category,all_channels,0,150000
1,PROMO-0029-0002,Fall Launch 2018,percentage,10.0,2018-08-30,2018-10-01,all_category,email,0,0
2,PROMO-0015-0003,Urban Blowout 2015,fixed,50.0,2015-07-30,2015-09-02,Streetwear,online,0,200000
3,PROMO-0043-0004,Fall Launch 2021,percentage,10.0,2021-08-30,2021-10-02,all_category,email,0,0
4,PROMO-0008-0005,Mid-Year Sale 2014,percentage,18.0,2014-06-23,2014-07-22,all_category,social_media,0,0
5,PROMO-0021-0006,Spring Sale 2017,percentage,12.0,2017-03-18,2017-04-17,all_category,all_channels,0,0
6,PROMO-0039-0007,Fall Launch 2020,percentage,10.0,2020-08-30,2020-10-01,all_category,all_channels,0,150000
7,PROMO-0019-0008,Fall Launch 2016,percentage,10.0,2016-08-30,2016-10-01,all_category,online,0,0
8,PROMO-0023-0009,Fall Launch 2017,percentage,10.0,2017-08-30,2017-10-02,all_category,all_channels,1,0
9,PROMO-0011-0010,Spring Sale 2015,percentage,12.0,2015-03-18,2015-04-17,all_category,all_channels,1,100000
10,PROMO-0011-0011,Spring Sale 2015,percentage,12.0,2015-03-18,2015-04-17,all_category,all_channels,1,100000
11,PROMO-0024-0012,Year-End Sale 2017,percentage,20.0,2017-11-18,2018-01-02,all_category,all_channels,0,0
12,PROMO-0036-0013,Rural Special 2019,percentage,15.0,2019-01-30,2019-03-01,Outdoor,in_store,1,150000
13,PROMO-0040-0014,Year-End Sale 2020,percentage,20.0,2020-11-18,2021-01-01,all_category,all_channels,0,0
14,PROMO-0024-0015,Year-End Sale 2017,percentage,20.0,2017-11-18,2018-01-02,all_category,all_channels,0,0
15,PROMO-0003-0016,Fall Launch 2013,percentage,10.0,2013-08-30,2013-10-02,all_category,email,0,0
16,PROMO-0022-0017,Mid-Year Sale 2017,percentage,18.0,2017-06-23,2017-07-22,all_category,online,0,150000
18,PROMO-0024-0019,Year-End Sale 2017,percentage,20.0,2017-11-18,2018-01-02,all_category,all_channels,0,0
19,PROMO-0044-0020,Year-End Sale 2021,percentage,20.0,2021-11-18,2022-01-02,all_category,all_channels,1,0
20,PROMO-0030-0021,Year-End Sale 2018,percentage,20.0,2018-11-18,2019-01-02,all_category,all_channels,0,0
21,PROMO-0038-0022,Mid-Year Sale 2020,percentage,18.0,2020-06-23,2020-07-22,all_category,social_media,0,0
22,PROMO-0002-0023,Mid-Year Sale 2013,percentage,18.0,2013-06-23,2013-07-22,all_category,online,0,0
23,PROMO-0021-0024,Spring Sale 2017,percentage,12.0,2017-03-18,2017-04-17,all_category,all_channels,0,0
24,PROMO-0033-0025,Fall Launch 2019,percentage,10.0,2019-08-30,2019-10-01,all_category,email,0,50000
25,PROMO-0012-0026,Mid-Year Sale 2015,percentage,18.0,2015-06-23,2015-07-22,all_category,social_media,0,0
26,PROMO-0022-0027,Mid-Year Sale 2017,percentage,18.0,2017-06-23,2017-07-22,all_category,online,0,150000
27,PROMO-0044-0028,Year-End Sale 2021,percentage,20.0,2021-11-18,2022-01-02,all_category,all_channels,1,0
28,PROMO-0025-0029,Urban Blowout 2017,fixed,50.0,2017-07-30,2017-09-02,Streetwear,online,0,150000
29,PROMO-0049-0030,Fall Launch 2022,percentage,10.0,2022-08-31,2022-10-01,all_category,all_channels,0,0
30,PROMO-0027-0031,Spring Sale 2018,percentage,12.0,2018-03-18,2018-04-17,all_category,all_channels,0,100000
31,PROMO-0042-0032,Mid-Year Sale 2021,percentage,18.0,2021-06-23,2021-07-22,all_category,social_media,1,0
32,PROMO-0028-0033,Mid-Year Sale 2018,percentage,18.0,2018-06-23,2018-07-22,all_category,social_media,0,150000
33,PROMO-0016-0034,Rural Special 2015,percentage,15.0,2015-01-30,2015-03-01,Outdoor,in_store,0,0
34,PROMO-0015-0035,Urban Blowout 2015,fixed,50.0,2015-07-30,2015-09-02,Streetwear,online,0,200000
35,PROMO-0047-0036,Spring Sale 2022,percentage,12.0,2022-03-18,2022-04-17,all_category,all_channels,1,0
36,PROMO-0044-0037,Year-End Sale 2021,percentage,20.0,2021-11-18,2022-01-02,all_category,all_channels,1,0
37,PROMO-0003-0038,Fall Launch 2013,percentage,10.0,2013-08-30,2013-10-02,all_category,email,0,0
38,PROMO-0037-0039,Spring Sale 2020,percentage,12.0,2020-03-18,2020-04-17,all_category,online,0,0
39,PROMO-0007-0040,Spring Sale 2014,percentage,12.0,2014-03-18,2014-04-17,all_category,email,1,0
40,PROMO-0021-0041,Spring Sale 2017,percentage,12.0,2017-03-18,2017-04-17,all_category,all_channels,0,0
41,PROMO-0009-0042,Fall Launch 2014,percentage,10.0,2014-08-30,2014-10-01,all_category,all_channels,0,100000
42,PROMO-0039-0043,Fall Launch 2020,percentage,10.0,2020-08-30,2020-10-01,all_category,all_channels,0,150000
43,PROMO-0018-0044,Mid-Year Sale 2016,percentage,18.0,2016-06-23,2016-07-22,all_category,online,0,0
44,PROMO-0004-0045,Year-End Sale 2013,percentage,20.0,2013-11-18,2014-01-02,all_category,all_channels,0,50000
45,PROMO-0025-0046,Urban Blowout 2017,fixed,50.0,2017-07-30,2017-09-02,Streetwear,online,0,150000
